ward,year,category,location,cost,geometry_type,grammar
46,2025,Sidewalk,4407 N MALDEN ST,13871.96,unknown,single_address
46,2025,Sidewalk,4419 N RACINE AVE,9889.75,unknown,single_address
46,2025,Sidewalk,4440-4442 N HAZEL ST,1975.28,line,address_range
46,2025,Sidewalk,4450-4454 N MALDEN ST,30160.23,line,address_range
46,2025,Sidewalk,4520 N BEACON ST,14451.34,unknown,single_address
46,2025,Sidewalk,4526-4528 N MAGNOLIA AVE,9759.96,line,address_range
46,2025,Sidewalk,4555 N MALDEN ST,43664.2,unknown,single_address
46,2025,Sidewalk,4638 N MALDEN ST,15333.79,unknown,single_address
46,2025,Sidewalk,4646 N MARINE DR,20588.52,unknown,single_address
46,2025,Sidewalk,4728 N KENMORE AVE; 4832 N KENMORE AVE; 4718 N KENMORE AVE,22066.98,unknown,multi_location
46,2025,Sidewalk,4813 N WINTHROP AVE,1530.65,unknown,single_address
46,2025,Sidewalk,4820 N MARINE DR,8421.41,unknown,single_address
46,2025,Sidewalk,4827 N KENMORE AVE; 4869 N KENMORE AVE; 4883 N KENMORE AVE; 4857 N KENMORE AVE,26139.41,unknown,multi_location
46,2025,Sidewalk,4835 N SHERIDAN RD; 4878 N SHERIDAN RD; 4855 N SHERIDAN RD; 4840 N SHERIDAN RD,84261.68,unknown,multi_location
46,2025,Sidewalk,4840-4850 N MARINE DR,13308.19,line,address_range
46,2025,Sidewalk,627-645 W PATTERSON AVE,35089.67,line,address_range
46,2025,Sidewalk,650 W GRACE ST,6591.86,unknown,single_address
46,2025,Sidewalk,653 W BITTERSWEET PL,10321.6,unknown,single_address
46,2025,Sidewalk,655 W JUNIOR TER,12503.85,unknown,unresolvable_text
46,2025,Sidewalk,709 W MONTROSE AVE,5458.47,unknown,single_address
46,2025,Sidewalk,712 W BITTERSWEET PL,16312.89,unknown,single_address
46,2025,Sidewalk,807-811 W LELAND AVE,11005.04,line,address_range
46,2025,Sidewalk,910 W CUYLER AVE,15312.39,unknown,single_address
46,2025,Sidewalk,911 W EASTWOOD AVE,6165.45,unknown,single_address
46,2025,Sidewalk,915 W DAKIN ST,5978.14,unknown,single_address
46,2025,Sidewalk,920 W EASTWOOD AVE; 928 W EASTWOOD AVE,22870.96,unknown,multi_location
46,2025,Sidewalk,929 W DAKIN ST,22624.73,unknown,single_address
46,2025,Sidewalk,N RACINE AVE & W WILSON AVE; 1200 W WILSON AVE,8292.57,point,intersection
46,2025,Sidewalk,N SHERIDAN RD & W IRVING PARK RD,32740.23,point,intersection
46,2025,Street Resurfacing,ON W HUTCHINSON ST FROM N MARINE DR (640 W) TO N HAZEL ST,106516.09,line,street_segment
46,2025,Street Speed Hump,ON W BYRON ST FROM N SOUTHPORT AVE (1400 W) TO N ASHLAND AVE,7320.0,line,street_segment
46,2025,Street Speed Hump,ON W SUNNYSIDE AVE FROM N CLARENDON AVE (800 W) TO N HAZEL ST,4880.0,line,street_segment
46,2025,Viaduct Improvement,N MARINE DR & W BUENA AVE; N LAKE SHORE DR & N MARINE DR,16019.75,polygon,alley_block_polygon
46,2025,Unknown,MENU BUDGET,1500000.0,unknown,unresolvable_text
46,2025,Unknown,WARD COMMITTED 2025 TOTAL,1410822.58,unknown,unresolvable_text
46,2025,Unknown,WARD 2025 BALANCE,89177.42,unknown,unresolvable_text
46,2025,Alley Apron,3745 N PAULINA ST,27545.28,unknown,single_address
46,2025,Alley Resurfacing,1454 W WARNER AVE,2811.95,unknown,single_address
46,2025,Alley Resurfacing,W ADDISON ST & N OAKLEY AVE&N CLAREMONT AVE & W WAVELAND AVE,48371.24,polygon,alley_block_polygon
46,2025,Arterial Street Bump Outs,W ADDISON ST & N HERMITAGE AVE,160000.0,point,intersection
46,2025,Bollard,5025 N CLARK ST,8870.43,unknown,single_address
46,2025,Curb & Gutter,1466 W HUTCHINSON ST; 4226 N GREENVIEW AVE,10108.37,unknown,multi_location
46,2025,Curb & Gutter,1805 W CUYLER AVE,6093.78,unknown,single_address
46,2025,Curb & Gutter,2206 W CULLOM AVE,3399.13,unknown,single_address
46,2025,Curb & Gutter,4046 N LEAVITT ST; N LEAVITT ST & W CUYLER AVE,114443.03,point,intersection
46,2025,Curb & Gutter,W MONTROSE AVE & N HERMITAGE AVE,14643.78,point,intersection
46,2025,Unknown,Hamilton ES HVAC system 1650 W CORNELIA AVE,125000.0,unknown,unresolvable_text
46,2025,Unknown,W LAWRENCE AVE & N DAMEN AVE,146770.57,point,intersection
46,2025,Left-Turn Arrow,N WESTERN AVE & W WILSON AVE,131116.08,point,intersection
46,2025,Unknown,Miscellaneous CDOT Projects (2025) ON N RAVENSWOOD AVE W FROM W SUNNYSIDE AVE (4500 N) TO W WILSON AVE,30556.93,line,street_segment
46,2025,Unknown,Miscellaneous CDOT Projects (2025) W BERTEAU AVE & N RAVENSWOOD AVE,3690.71,point,intersection
46,2025,Unknown,Miscellaneous CDOT Projects (2025) W IRVING PARK RD & N HOYNE AVE,3500.0,point,intersection
46,2025,Pavement Markings,Pavement Markings Menu (2025) ON N ROCKWELL ST FROM W SUNNYSIDE AVE (4500 N) TO W WILSON AVE,5000.0,line,street_segment
46,2025,Pavement Markings,Pavement Markings Menu (2025) W ADDISON ST & N HERMITAGE AVE,2000.0,point,intersection
47,2025,Pavement Markings,Pavement Markings Menu (2025) W ADDISON ST & N OAKLEY AVE,1350.0,point,intersection
47,2025,Sidewalk,1600 W IRVING PARK RD,66919.78,unknown,single_address
47,2025,Sidewalk,2437 W LELAND AVE,5777.48,unknown,single_address
47,2025,Sidewalk,2455-2457 W LELAND AVE,1558.09,line,address_range
47,2025,Sidewalk,3701 N HOYNE AVE,33770.0,unknown,single_address
47,2025,Sidewalk,3749-3753 N HOYNE AVE,19713.28,line,address_range
47,2025,Sidewalk,4144 N CLAREMONT AVE,3088.69,unknown,single_address
47,2025,Sidewalk,4715 N HAMILTON AVE,23233.78,unknown,single_address
47,2025,Unknown,Speed Indicator Signs (2025) 2301 W IRVING PARK RD,14150.35,unknown,named_place
47,2025,Unknown,Speed Indicator Signs (2025) 2444 W ADDISON ST,14150.35,unknown,unresolvable_text
47,2025,Unknown,Speed Indicator Signs (2025) 2603 W ADDISON ST,14150.35,unknown,unresolvable_text
47,2025,Unknown,Speed Indicator Signs (2025) 4015 N ASHLAND AVE,16310.35,unknown,unresolvable_text
47,2025,Unknown,Speed Indicator Signs (2025) 4148-4150 N ASHLAND AVE,16310.35,unknown,unresolvable_text
47,2025,Street Light Pole for High Definition Camera,4015 N ASHLAND AVE,3000.0,unknown,single_address
47,2025,Street Resurfacing,ON N HOYNE AVE FROM W BYRON ST (3900 N) TO W IRVING PARK RD,53334.27,line,street_segment
47,2025,Street Resurfacing,ON N RAVENSWOOD AVE FROM W SUNNYSIDE AVE (4500 N) TO W WILSON AVE,47033.92,line,street_segment
47,2025,Street Resurfacing,ON N WOLCOTT AVE FROM W AINSLIE ST (4900 N) TO W ARGYLE ST,47983.09,line,street_segment
47,2025,Street Resurfacing,ON W BYRON ST FROM N OAKLEY AVE (2300 W) TO N CLAREMONT AVE,23047.04,line,street_segment
47,2025,Street Resurfacing,ON W GRACE ST FROM N WESTERN AVE (2400 W) TO N CAMPBELL AVE,67017.7,line,street_segment
47,2025,Street Resurfacing,ON W WARNER AVE FROM N SOUTHPORT AVE (1400 W) TO N GREENVIEW AVE,17829.82,line,street_segment
47,2025,Street Resurfacing,ON W WAVELAND AVE FROM N BELL AVE (2230 W) TO N OAKLEY AVE,28564.32,line,street_segment
47,2025,Street Resurfacing,ON W WINNEMAC AVE FROM N BROADWAY (1200 W) TO N GLENWOOD AVE,124405.62,line,street_segment
47,2025,Street Speed Hump,ON W SUNNYSIDE AVE FROM N DOVER ST (1400 W) TO N CLARK ST,2440.0,line,street_segment
47,2025,Unknown,Welles Park Nature Play Area 2333 W SUNNYSIDE AVE,8750.0,unknown,named_place
47,2025,Unknown,MENU BUDGET,1500000.0,unknown,unresolvable_text
47,2025,Unknown,WARD COMMITTED 2025 TOTAL,1499984.91,unknown,unresolvable_text
47,2025,Unknown,WARD 2025 BALANCE,15.09,unknown,unresolvable_text
47,2025,Unknown,4830 S WESTERN AVE; 100 S JEAN BAPTISTE POINTE DUSABLE LAKE SHORE DR SB,30000.0,unknown,multi_location
47,2025,2025,- 48th ward- Lakefront Bunches 400 S JEAN BAPTISTE POINTE DUSABLE LAKE SHORE DR SB,100000.0,unknown,unresolvable_text
47,2025,Alley Apron,1058 W BALMORAL AVE,10693.05,unknown,single_address
47,2025,Alley Apron,1316 W BERWYN AVE,14950.82,unknown,single_address
47,2025,Alley Apron,1317 W BALMORAL AVE,27495.53,unknown,single_address
47,2025,Alley Apron,1410 W ROSEMONT AVE,21210.46,unknown,single_address
47,2025,Alley Apron,5863 N GLENWOOD AVE,11426.25,unknown,single_address
47,2025,Alley Apron,6205 N WAYNE AVE,18116.86,unknown,single_address
47,2025,Alley Apron,6246 N GREENVIEW AVE,16598.3,unknown,single_address
47,2025,Alley Resurfacing,N BROADWAY & W ELMDALE AVE; W THORNDALE AVE & N MAGNOLIA AVE,40894.81,point,intersection
47,2025,Alley Resurfacing,N WINTHROP AVE & W ARGYLE ST&N KENMORE AVE & W WINONA ST,12175.12,polygon,alley_block_polygon
47,2025,Alley Resurfacing,W CATALPA AVE & N WINTHROP AVE&N KENMORE AVE & W BRYN MAWR AVE,35423.94,polygon,alley_block_polygon
47,2025,Alley Resurfacing,W GRANVILLE AVE & N WINTHROP AVE&N KENMORE AVE & W GLENLAKE AVE,27869.93,polygon,alley_block_polygon
47,2025,Alley Resurfacing,W HIGHLAND AVE & N GREENVIEW AVE&N CLARK ST & W ROSEMONT AVE,40864.74,polygon,alley_block_polygon
47,2025,Alley Resurfacing,W WINONA ST & N SHERIDAN RD&N MARINE DR & W FOSTER AVE,58273.69,polygon,alley_block_polygon
47,2025,Arterial Street Bump Outs,W FOSTER AVE & N WAYNE AVE,60000.0,point,intersection
48,2025,Bollard,N BROADWAY & W ARGYLE ST,12819.99,point,intersection
48,2025,Bollard,ON W ARGYLE ST FROM N SHERIDAN RD (1000 W) TO N BROADWAY,15000.0,line,street_segment
48,2025,Unknown,N SHERIDAN RD & W BALMORAL AVE; 5400 N SHERIDAN RD,180000.0,point,intersection
