ward,year,category,location,cost,geometry_type,grammar
2,2025,Street Light Upgrade,1760 N CLYBOURN AVE,500.0,unknown,single_address
2,2025,Street Resurfacing,ON E CHESTNUT ST FROM N DEWITT PL (250 E) TO N LAKE SHORE DR,67356.85,line,street_segment
2,2025,Street Resurfacing,ON E HURON ST FROM N ST CLAIR ST (200 E) TO N FAIRBANKS CT,70163.16,line,street_segment
2,2025,Street Resurfacing,ON N SOUTHPORT AVE FROM W WEBSTER AVE (2200 N) TO W FULLERTON AVE,72850.23,line,street_segment
2,2025,Street Resurfacing,ON N STATE PKWY FROM E SCOTT ST (1232 N) TO E SCHILLER ST,116763.57,line,street_segment
2,2025,Street Resurfacing,ON W CONCORD LN FROM N CLYBOURN AVE (900 W) TO N SHEFFIELD AVE,55910.27,line,street_segment
2,2025,Street Resurfacing,ON W DICKENS AVE FROM N RACINE AVE (1200 W) TO N LAKEWOOD AVE,76768.97,line,street_segment
2,2025,Unknown,Traffic Signal Pole Painting menu,18830.0,unknown,unresolvable_text
2,2025,Viaduct Improvement,E DIVISION ST & N LAKE SHORE DR,20446.77,point,intersection
2,2025,Unknown,MENU BUDGET,1500000.0,unknown,unresolvable_text
2,2025,Unknown,WARD COMMITTED 2025 TOTAL,1499999.99,unknown,unresolvable_text
2,2025,Unknown,WARD 2025 BALANCE,0.01,unknown,unresolvable_text
2,2025,Alley Resurfacing,S CALUMET AVE & E 40TH ST&E 41ST ST & S PRAIRIE AVE,37129.36,polygon,alley_block_polygon
2,2025,Alley Resurfacing,S MICHIGAN AVE & E 21ST ST&E CERMAK RD & S WABASH AVE,12883.19,polygon,alley_block_polygon
2,2025,Alley Resurfacing,S MICHIGAN AVE & E 40TH ST&E 41ST ST & S INDIANA AVE,32105.62,polygon,alley_block_polygon
2,2025,Alley Resurfacing,S PRAIRIE AVE & E PERSHING RD&E 40TH ST & S INDIANA AVE,52768.75,polygon,alley_block_polygon
2,2025,Alley Speed Hump,S STATE ST & W 43RD ST&E 44TH ST & S WABASH AVE,2175.0,polygon,alley_block_polygon
2,2025,Curb & Gutter,10 W 35TH PL,5270.63,unknown,single_address
2,2025,Floodlight,346 W SWANN ST,1150.0,unknown,single_address
2,2025,Unknown,Miscellaneous CDOT Projects (2025) 1920 S PRAIRIE AVE,4600.0,unknown,unresolvable_text
2,2025,Unknown,Miscellaneous CDOT Projects (2025) 306 E PERSHING RD,150.0,unknown,unresolvable_text
2,2025,Unknown,Miscellaneous CDOT Projects (2025) 3663 S INDIANA AVE,300.0,unknown,unresolvable_text
2,2025,Unknown,Miscellaneous CDOT Projects (2025) 3859 S GILES AVE,660.0,unknown,unresolvable_text
2,2025,Unknown,Miscellaneous CDOT Projects (2025) 430-432 E 48TH ST,150.0,unknown,unresolvable_text
2,2025,Unknown,Miscellaneous CDOT Projects (2025) 4510 S VINCENNES AVE,150.0,unknown,unresolvable_text
2,2025,Unknown,Miscellaneous CDOT Projects (2025) 4521-4523 S PRAIRIE AVE,150.0,unknown,unresolvable_text
2,2025,Unknown,Miscellaneous CDOT Projects (2025) 4644 S VINCENNES AVE,150.0,unknown,unresolvable_text
